,Target_Column,Num_Layers,Nodes,Stepmax,Learning rate,Avg_Accuracy,,RF4 avg accuracy,RF3 avg accuracy,RF2 avg accuracy
331,52,3,60,1.00E+06,1.00E-05,0.63,,,,
334,52,3,60,1.00E+06,1.00E-04,0.62,,,,
337,52,3,60,1.00E+06,0.001,0.62,,,,
340,52,3,60,1.00E+06,0.01,0.63,,,,
343,52,3,60,1.00E+06,0.1,0.63,,,,
346,52,3,80,1.00E+06,1.00E-05,0.65,,,,
349,52,3,80,1.00E+06,1.00E-04,0.66,,,,
352,52,3,80,1.00E+06,0.001,0.65,,,,
355,52,3,80,1.00E+06,0.01,0.65,,,,
358,52,3,80,1.00E+06,0.1,0.64,,,,
361,52,3,100,1.00E+06,1.00E-05,0.64,,,,
364,52,3,100,1.00E+06,1.00E-04,0.64,,,,
367,52,3,100,1.00E+06,0.001,0.64,,,,
370,52,3,100,1.00E+06,0.01,0.64,,,,
373,52,3,100,1.00E+06,0.1,0.64,,,,
376,52,3,120,1.00E+06,1.00E-05,0.64,,,,
379,52,3,120,1.00E+06,1.00E-04,0.65,,,,
382,52,3,120,1.00E+06,0.001,0.65,,,,
385,52,3,120,1.00E+06,0.01,0.64,,,,
388,52,3,120,1.00E+06,0.1,0.64,,,,
391,52,3,140,1.00E+06,1.00E-05,0.65,,,,
394,52,3,140,1.00E+06,1.00E-04,0.66,,,,
397,52,3,140,1.00E+06,0.001,0.66,,,,
400,52,3,140,1.00E+06,0.01,0.65,,,,
403,52,3,140,1.00E+06,0.1,0.65,,,,
406,52,3,160,1.00E+06,1.00E-05,0.64,,,,
409,52,3,160,1.00E+06,1.00E-04,0.64,,,,
412,52,3,160,1.00E+06,0.001,0.63,,,,
415,52,3,160,1.00E+06,0.01,0.63,,,,
418,52,3,160,1.00E+06,0.1,0.63,,,,
421,52,3,180,1.00E+06,1.00E-05,0.64,,,,
424,52,3,180,1.00E+06,1.00E-04,0.64,,,,
427,52,3,180,1.00E+06,0.001,0.65,,,,
430,52,3,180,1.00E+06,0.01,0.65,,,,
433,52,3,180,1.00E+06,0.1,0.65,,,,
436,52,3,200,1.00E+06,1.00E-05,0.65,,,,
439,52,3,200,1.00E+06,1.00E-04,0.65,,,,
442,52,3,200,1.00E+06,0.001,0.66,,,,
445,52,3,200,1.00E+06,0.01,0.65,,,,
448,52,3,200,1.00E+06,0.1,0.65,,,,
2,53,1,20,1.00E+06,1.00E-05,0.76,,,,
5,53,1,20,1.00E+06,1.00E-04,0.76,,,,
8,53,1,20,1.00E+06,0.001,0.76,,,,
11,53,1,20,1.00E+06,0.01,0.75,,,,
14,53,1,20,1.00E+06,0.1,0.76,,,,
17,53,1,40,1.00E+06,1.00E-05,0.73,,,,
20,53,1,40,1.00E+06,1.00E-04,0.73,,,,
23,53,1,40,1.00E+06,0.001,0.74,,,,
26,53,1,40,1.00E+06,0.01,0.73,,,,
29,53,1,40,1.00E+06,0.1,0.74,,,,
32,53,1,60,1.00E+06,1.00E-05,0.76,,,,
35,53,1,60,1.00E+06,1.00E-04,0.77,,,,
38,53,1,60,1.00E+06,0.001,0.77,,,,
41,53,1,60,1.00E+06,0.01,0.76,,,,
44,53,1,60,1.00E+06,0.1,0.75,,,,
47,53,1,80,1.00E+06,1.00E-05,0.77,,,,
50,53,1,80,1.00E+06,1.00E-04,0.75,,,,
53,53,1,80,1.00E+06,0.001,0.76,,,,
56,53,1,80,1.00E+06,0.01,0.75,,,,
59,53,1,80,1.00E+06,0.1,0.75,,,,
62,53,1,100,1.00E+06,1.00E-05,0.76,,,,
65,53,1,100,1.00E+06,1.00E-04,0.74,,,,
68,53,1,100,1.00E+06,0.001,0.74,,,,
71,53,1,100,1.00E+06,0.01,0.74,,,,
74,53,1,100,1.00E+06,0.1,0.74,,,,
77,53,1,120,1.00E+06,1.00E-05,0.77,,,,
80,53,1,120,1.00E+06,1.00E-04,0.76,,,,
83,53,1,120,1.00E+06,0.001,0.74,,,,
86,53,1,120,1.00E+06,0.01,0.74,,,,
89,53,1,120,1.00E+06,0.1,0.74,,,,
92,53,1,140,1.00E+06,1.00E-05,0.78,,,,
95,53,1,140,1.00E+06,1.00E-04,0.76,,,,
98,53,1,140,1.00E+06,0.001,0.76,,,,
101,53,1,140,1.00E+06,0.01,0.76,,,,
104,53,1,140,1.00E+06,0.1,0.76,,,,
107,53,1,160,1.00E+06,1.00E-05,0.72,,,,
110,53,1,160,1.00E+06,1.00E-04,0.75,,,,
113,53,1,160,1.00E+06,0.001,0.76,,,,
116,53,1,160,1.00E+06,0.01,0.75,,,,
119,53,1,160,1.00E+06,0.1,0.75,,,,
122,53,1,180,1.00E+06,1.00E-05,0.77,,,,
125,53,1,180,1.00E+06,1.00E-04,0.75,,,,
128,53,1,180,1.00E+06,0.001,0.75,,,,
131,53,1,180,1.00E+06,0.01,0.75,,,,
134,53,1,180,1.00E+06,0.1,0.76,,,,
137,53,1,200,1.00E+06,1.00E-05,0.76,,,,
140,53,1,200,1.00E+06,1.00E-04,0.76,,,,
143,53,1,200,1.00E+06,0.001,0.76,,,,
146,53,1,200,1.00E+06,0.01,0.75,,,,
149,53,1,200,1.00E+06,0.1,0.75,,,,
